id,uploaded_at,user_id,process,file
112,"2025-07-25 11:36:54.931063",2,"Dish TV-IB","uploads/Dish TV-IB/DISH_IB-HYD.xlsx"
113,"2025-07-25 12:15:19.222650",2,"VD2H-HYD OB Q3","uploads/VD2H-HYD OB Q3/OB_Q3.xlsx"
114,"2025-07-25 12:15:39.579994",2,"VD2H-HYD NHL Q5","uploads/VD2H-HYD NHL Q5/NHL_Q5.xlsx"
115,"2025-07-25 12:15:54.315329",2,"VD2H-HYD NHL Q3","uploads/VD2H-HYD NHL Q3/NHL_Q3.xlsx"
116,"2025-07-25 12:16:18.981287",2,"VD2H-HYD ED Q5","uploads/VD2H-HYD ED Q5/ED_Q5.xlsx"
117,"2025-07-25 12:16:46.944167",2,"VD2H-HYD ED Q3","uploads/VD2H-HYD ED Q3/ED_Q3.xlsx"
118,"2025-07-26 04:08:25.309829",2,"Mpokket Collection APR","uploads/Mpokket Collection APR/Agent_Summary_Activity_Report_Active.csv"
119,"2025-07-26 04:08:40.255443",2,"Mpokket Collection Breakcode","uploads/Mpokket Collection Breakcode/Agent_Not_Ready_Reason_Code_Report_1.csv"
120,"2025-07-26 05:02:47.657311",2,"Mpokket Collection Breakcode","uploads/Mpokket Collection Breakcode/Agent_Not_Ready_Reason_Code_Report_1_q2VKTjy.csv"
121,"2025-07-26 05:06:45.615643",2,"Mpokket Collection Breakcode","uploads/Mpokket Collection Breakcode/Agent_Not_Ready_Reason_Code_Report_1_74Zvp2n.csv"
122,"2025-07-26 12:39:12.984022",2,"DISH IB-HYD","uploads/DISH IB-HYD/DISH_IB-HYD.xlsx"
123,"2025-07-26 12:53:57.033256",2,"VD2H-HYD ED Q3","uploads/VD2H-HYD ED Q3/ED_Q3_zfDx9kA.xlsx"
124,"2025-07-26 12:54:12.550875",2,"VD2H-HYD ED Q5","uploads/VD2H-HYD ED Q5/ED_Q5_ekVlu7v.xlsx"
125,"2025-07-26 12:54:23.757811",2,"VD2H-HYD NHL Q3","uploads/VD2H-HYD NHL Q3/NHL_Q3_Dz3FjRZ.xlsx"
126,"2025-07-26 12:56:19.233655",2,"VD2H-HYD NHL Q5","uploads/VD2H-HYD NHL Q5/NHL_Q5_pkpQC6Y.xlsx"
127,"2025-07-26 12:57:23.996005",2,"VD2H-HYD OB Q3","uploads/VD2H-HYD OB Q3/OB_Q3_fmDK969.xlsx"
128,"2025-07-29 09:52:03.636773",2,"VD2H-HYD OB Q3","uploads/VD2H-HYD OB Q3/OB_Q3_FawJkkz.xlsx"
129,"2025-07-29 09:54:05.903116",2,"VD2H-HYD NHL Q5","uploads/VD2H-HYD NHL Q5/NHL_Q5_Yob4f8M.xlsx"
130,"2025-07-29 09:54:12.652638",2,"VD2H-HYD NHL Q3","uploads/VD2H-HYD NHL Q3/NHL_Q3_Yinyd2S.xlsx"
131,"2025-07-29 09:54:29.397403",2,"VD2H-HYD ED Q5","uploads/VD2H-HYD ED Q5/ED_Q5_WhL3yE1.xlsx"
132,"2025-07-29 09:54:45.356099",2,"VD2H-HYD ED Q3","uploads/VD2H-HYD ED Q3/ED_Q3_3aFjR5m.xlsx"
133,"2025-07-29 09:56:38.146219",2,"VD2H-HYD NHL Q5","uploads/VD2H-HYD NHL Q5/NHL_Q5_2sOfXJ3.xlsx"
134,"2025-07-30 07:07:09.193482",2,"VD2H-HYD OB Q3","uploads/VD2H-HYD OB Q3/OB_Q3_S0umhSt.xlsx"
135,"2025-07-30 07:07:44.794149",2,"VD2H-HYD NHL Q3","uploads/VD2H-HYD NHL Q3/NHL_Q3_VRdzIYE.xlsx"
