id,date,process,pending,approved
1,03-07-2025,Unknown,0,134
2,03-07-2025,"DISH TV-OB",0,1
3,01-07-2025,"MMT FILLER",0,12
4,01-07-2025,"MMT Flight",0,26
5,01-07-2025,Unknown,0,4
6,01-07-2025,"Max life-SDPL",0,63
8,01-07-2025,"Dish TV-Backend",0,1
9,01-07-2025,"Dish TV-IB",0,7
10,01-07-2025,UNICEF,0,13
12,01-07-2025,VIDEOCON,0,4
13,02-07-2025,"MMT FILLER",0,12
14,02-07-2025,"MMT Flight",0,27
15,02-07-2025,Unknown,0,146
16,01-07-2025,"DISH TV-OB",0,1
18,01-07-2025,VD2H-OB,0,38
19,01-07-2025,BSES-NOIDA,0,27
20,01-07-2025,PSPCL,0,161
22,02-07-2025,"DISH TV-OB",0,1
24,02-07-2025,VD2H-OB,0,42
25,02-07-2025,BSES-NOIDA,0,29
26,02-07-2025,PSPCL,0,158
28,02-07-2025,"Max life-SDPL",0,68
30,01-07-2025,Adani,0,17
31,01-07-2025,"GoQii-Inbound	",0,2
32,01-07-2025,GoQii-Outbound,0,2
33,01-07-2025,"HDFC PERSISTENCY",0,16
34,01-07-2025,"I-Pru Mumbai ",0,41
35,01-07-2025,"IDFC Cross Sale",0,166
36,01-07-2025,"IDFC Digi Sales",0,11
37,01-07-2025,Jio-Insure,0,12
38,01-07-2025,"L&T Services-Mumbai",0,2
39,01-07-2025,MGL,0,22
40,01-07-2025,"Nayara Mumbai",0,7
41,01-07-2025,"Reliance Nippon",0,54
43,01-07-2025,"Yes Bank",0,56
44,02-07-2025,Adani,0,19
45,02-07-2025,"GoQii-Inbound	",0,2
46,02-07-2025,GoQii-Outbound,0,2
47,02-07-2025,"HDFC PERSISTENCY",0,12
48,02-07-2025,"I-Pru Mumbai ",0,40
49,02-07-2025,"IDFC Cross Sale",0,157
50,02-07-2025,"IDFC Digi Sales",0,10
51,02-07-2025,Jio-Insure,0,10
52,02-07-2025,"L&T SME",0,9
53,02-07-2025,"L&T Services-Mumbai",0,22
54,02-07-2025,MGL,0,19
55,02-07-2025,"Nayara Mumbai",0,5
56,02-07-2025,"Reliance Nippon",0,53
